Pelvis_q_a,Pelvis_q_b,Pelvis_q_c,Pelvis_q_d,Right_Thigh_q_a,Right_Thigh_q_b,Right_Thigh_q_c,Right_Thigh_q_d,Right_Shank_q_a,Right_Shank_q_b,Right_Shank_q_c,Right_Shank_q_d,Right_Foot_q_a,Right_Foot_q_b,Right_Foot_q_c,Right_Foot_q_d,Left_Thigh_q_a,Left_Thigh_q_b,Left_Thigh_q_c,Left_Thigh_q_d,Left_Shank_q_a,Left_Shank_q_b,Left_Shank_q_c,Left_Shank_q_d,Left_Foot_q_a,Left_Foot_q_b,Left_Foot_q_c,Left_Foot_q_d
0.41705600000000004,-0.537321,-0.43379799999999996,-0.590906,-0.50432,0.07998,0.50868,-0.693187,0.632424,0.5018050000000001,-0.5768340000000001,0.124477,0.952728,-0.029027999999999998,0.257364,-0.158842,0.062438,-0.225836,-0.664513,-0.709593,0.312271,-0.6130770000000001,-0.447014,-0.571666,0.9437709999999999,-0.21195999999999998,0.253657,0.005222
0.417209,-0.537257,-0.43383999999999995,-0.590825,-0.50439,0.079959,0.508646,-0.693164,0.632433,0.501825,-0.5768220000000001,0.12440899999999999,0.952731,-0.029032,0.257317,-0.158896,0.062411,-0.22578600000000001,-0.664564,-0.709563,0.312253,-0.613071,-0.447049,-0.571655,0.9437629999999999,-0.211946,0.2537,0.005183
0.417313,-0.537207,-0.43392200000000003,-0.5907359999999999,-0.504447,0.079939,0.508618,-0.693146,0.632436,0.501835,-0.5768220000000001,0.12435399999999999,0.952734,-0.029037999999999998,0.257254,-0.15897999999999998,0.062398,-0.225744,-0.664619,-0.709526,0.312228,-0.613055,-0.447086,-0.571657,0.943757,-0.21191500000000002,0.253747,0.005157
0.41742299999999993,-0.537168,-0.434,-0.590637,-0.5045,0.079927,0.508598,-0.6931229999999999,0.632451,0.501842,-0.576806,0.12431700000000001,0.952736,-0.029082,0.257204,-0.159039,0.062340999999999994,-0.22568200000000002,-0.664673,-0.709501,0.312193,-0.613055,-0.44711999999999996,-0.571649,0.9437530000000001,-0.211875,0.253795,0.005136
0.417526,-0.537135,-0.434067,-0.590546,-0.504521,0.07990900000000001,0.508598,-0.69311,0.632464,0.501845,-0.5767939999999999,0.124298,0.9527370000000001,-0.029166,0.257168,-0.15908,0.062299,-0.22564,-0.66472,-0.7094729999999999,0.312158,-0.613025,-0.44717299999999993,-0.571659,0.9437459999999999,-0.21186100000000002,0.253834,0.005083
0.417633,-0.537105,-0.43416899999999997,-0.590422,-0.504529,0.079874,0.508612,-0.693098,0.632483,0.501853,-0.576769,0.124287,0.95273,-0.029202999999999996,0.257148,-0.159146,0.06227100000000001,-0.22559,-0.6647850000000001,-0.709431,0.312114,-0.613007,-0.44726000000000005,-0.571634,0.943736,-0.21184699999999998,0.25388499999999997,0.005068
0.417757,-0.537058,-0.434266,-0.590305,-0.504572,0.079851,0.508628,-0.6930569999999999,0.632486,0.501871,-0.576751,0.12428099999999999,0.952723,-0.029227999999999997,0.25713400000000003,-0.159206,0.06225,-0.225539,-0.664858,-0.709381,0.312067,-0.612987,-0.447333,-0.571624,0.9437190000000001,-0.211854,0.253944,0.005047
0.417871,-0.537021,-0.434356,-0.5901930000000001,-0.50459,0.079838,0.508646,-0.693032,0.6324960000000001,0.5018739999999999,-0.5767359999999999,0.12428399999999999,0.9527120000000001,-0.029219,0.257135,-0.159272,0.062217999999999996,-0.225481,-0.664926,-0.709338,0.312031,-0.6129680000000001,-0.447404,-0.571609,0.9437040000000001,-0.21187399999999998,0.253983,0.005004
0.417994,-0.536968,-0.43443000000000004,-0.5900989999999999,-0.504631,0.079823,0.508655,-0.692998,0.632508,0.501867,-0.576734,0.12426,0.952693,-0.029192000000000003,0.257151,-0.159366,0.062196,-0.225446,-0.6649930000000001,-0.7092890000000001,0.312002,-0.6129359999999999,-0.44746800000000003,-0.571608,0.943686,-0.21187399999999998,0.254051,0.004973
0.418126,-0.5369079999999999,-0.434497,-0.59001,-0.50468,0.079801,0.508663,-0.692959,0.632526,0.501851,-0.5767359999999999,0.124227,0.9526680000000001,-0.029119,0.257178,-0.159484,0.062165,-0.22541399999999998,-0.665037,-0.70926,0.311973,-0.61292,-0.447514,-0.5716060000000001,0.943674,-0.211866,0.254101,0.00494
